x,reference,rusanov,cfweno_burgers
0.0000000000,0.8556372711,0.8576478102,0.8556242175
0.0100000000,0.8635231719,0.8654275845,0.8635101101
0.0200000000,0.8717748090,0.8735705625,0.8717619641
0.0300000000,0.8803640301,0.8820484458,0.8803515057
0.0400000000,0.8892629995,0.8908333886,0.8892508982
0.0500000000,0.8984442243,0.8998979827,0.8984327248
0.0600000000,0.9078808514,0.9092152364,0.9078699664
0.0700000000,0.9175460871,0.9187585487,0.9175359751
0.0800000000,0.9274137053,0.9285016791,0.9274044445
0.0900000000,0.9374577107,0.9384187146,0.9374493766
0.1000000000,0.9476523443,0.9484840343,0.9476450475
0.1100000000,0.9579722070,0.9586722717,0.9579659705
0.1200000000,0.9683919465,0.9689582755,0.9683868586
0.1300000000,0.9788864788,0.9793170698,0.9788825853
0.1400000000,0.9894308026,0.9897238123,0.9894281450
0.1500000000,0.9999999980,1.0001537533,0.9999986131
0.1600000000,1.0105691936,1.0105821933,1.0105691050
0.1700000000,1.0211135174,1.0209844409,1.0211147360
0.1800000000,1.0316080499,1.0313357710,1.0316105800
0.1900000000,1.0420277896,1.0416113826,1.0420316297
0.2000000000,1.0523476526,1.0517863581,1.0523527556
0.2100000000,1.0625422865,1.0618356219,1.0625486672
0.2200000000,1.0725862923,1.0717339016,1.0725938735
0.2300000000,1.0824539110,1.0814556894,1.0824626456
0.2400000000,1.0921191472,1.0909752052,1.0921289800
0.2500000000,1.1015557748,1.1002663627,1.1015665640
0.2600000000,1.1107370001,1.1093027367,1.1107487428
0.2700000000,1.1196359700,1.1180575353,1.1196484900
0.2800000000,1.1282251916,1.1265035746,1.1282383814
0.2900000000,1.1364768291,1.1346132593,1.1364905722
0.3000000000,1.1443627304,1.1423585689,1.1443767806
0.3100000000,1.1518539424,1.1497110510,1.1518682768
0.3200000000,1.1589215431,1.1566418239,1.1589358806
0.3300000000,1.1655357956,1.1631215889,1.1655499677
0.3400000000,1.1716666564,1.1691206550,1.1716804878
0.3500000000,1.1772838526,1.1746089781,1.1772969962
0.3600000000,1.1823562740,1.1795562150,1.1823687014
0.3700000000,1.1868531936,1.1839317941,1.1868645330
0.3800000000,1.1907431854,1.1877050024,1.1907532312
0.3900000000,1.1939949135,1.1908450899,1.1940034641
0.4000000000,1.1965773290,1.1933213899,1.1965839760
0.4100000000,1.1984590069,1.1951034620,1.1984637720
0.4200000000,1.1996098596,1.1961612646,1.1996123446
0.4300000000,1.1999999036,1.1964654827,1.1999999473
0.4400000000,1.1996004508,1.1959888243,1.1995979218
0.4500000000,1.1983845374,1.1947063019,1.1983790844
0.4600000000,1.1963263528,1.1925949429,1.1963181765
0.4700000000,1.1934035501,1.1896342768,1.1933923850
0.4800000000,1.1895960314,1.1858069414,1.1895819331
0.4900000000,1.1848876482,1.1810993522,1.1848707447
0.5000000000,1.1792669590,1.1755024198,1.1792471774
0.5100000000,1.1727269034,1.1690122999,1.1727048168
0.5200000000,1.1652676078,1.1616311622,1.1652433199
0.5300000000,1.1568952963,1.1533679562,1.1568692858
0.5400000000,1.1476242901,1.1442391504,1.1475971254
0.5500000000,1.1374778222,1.1342694133,1.1374498940
0.5600000000,1.1264877491,1.1234921996,1.1264600405
0.5700000000,1.1146969805,1.1119501971,1.1146700196
0.5800000000,1.1021581159,1.0996955944,1.1021327107
0.5900000000,1.0889346381,1.0867901231,1.0889115843
0.6000000000,1.0751006786,1.0733048407,1.0750805605
0.6100000000,1.0607398561,1.0593196253,1.0607235180
0.6200000000,1.0459455578,1.0449223683,1.0459334267
0.6300000000,1.0308185928,1.0302078693,1.0308111014
