x,exact,upwind,lax_wendroff,cfweno3
0.0050000000,0.0004934396,0.0248574682,0.0005363185,0.0004954807
0.0150000000,0.0044380354,0.0287059103,0.0045294166,0.0044400684
0.0250000000,0.0123116594,0.0363876064,0.0124511824,0.0123136763
0.0350000000,0.0240832381,0.0478722404,0.0242703522,0.0240852309
0.0450000000,0.0397063143,0.0631144876,0.0399402811,0.0397082753
0.0550000000,0.0591192310,0.0820541940,0.0593991272,0.0591211524
0.0650000000,0.0822453743,0.1046166131,0.0825700952,0.0822472484
0.0750000000,0.1089934758,0.1307127013,0.1093617398,0.1089952953
0.0850000000,0.1392579730,0.1602394694,0.1396683268,0.1392597307
0.0950000000,0.1729194257,0.1930803887,0.1733702499,0.1729211146
0.1050000000,0.2098449876,0.2291058510,0.2103345029,0.2098466011
0.1150000000,0.2498889304,0.2681736803,0.2504152049,0.2498904621
0.1250000000,0.2928932188,0.3101296938,0.2934541756,0.2928946627
0.1350000000,0.3386881347,0.3548083102,0.3392815599,0.3386894851
0.1450000000,0.3870929463,0.4020332034,0.3877164980,0.3870941979
0.1550000000,0.4379166221,0.4516179984,0.4385678394,0.4379177699
0.1650000000,0.4909585842,0.5033670066,0.4916348970,0.4909596237
0.1750000000,0.5460095003,0.5570759984,0.5467082395,0.5460104273
0.1850000000,0.6028521094,0.6125330089,0.6035705174,0.6028529204
0.1950000000,0.6612620798,0.6695191745,0.6619973214,0.6612627715
0.2050000000,0.7210088940,0.7278095970,0.7217580675,0.7210094637
0.2150000000,0.7818567586,0.7871742306,0.7826169074,0.7818572041
0.2250000000,0.8435655350,0.8473787903,0.8443336591,0.8435658544
0.2350000000,0.9058916867,0.9081856763,0.9066647547,0.9058918789
0.2450000000,0.9685892409,0.9693549114,0.9693642019,0.9685893051
0.2550000000,1.0314107591,1.0306450886,1.0321845546,1.0314106949
0.2650000000,1.0941083133,1.0918143237,1.0948778895,1.0941081211
0.2750000000,1.1564344650,1.1526212097,1.1571967848,1.1564341456
0.2850000000,1.2181432414,1.2128257694,1.2188952962,1.2181427959
0.2950000000,1.2789911060,1.2721904030,1.2797299278,1.2789905363
0.3050000000,1.3387379202,1.3304808255,1.3394605932,1.3387372285
